# x	y	u	v	flags	mask
2.0721e-01	1.9623e+01	2.4814e-01	3.2553e-02	0.0000e+00	0.0000e+00
4.2478e-01	1.9623e+01	1.0293e-01	5.4261e-02	0.0000e+00	0.0000e+00
6.4235e-01	1.9623e+01	3.5171e-02	4.0494e-02	0.0000e+00	0.0000e+00
8.5993e-01	1.9623e+01	4.9202e-04	1.8655e-02	0.0000e+00	0.0000e+00
1.0775e+00	1.9623e+01	-1.2242e-02	2.7256e-02	0.0000e+00	0.0000e+00
1.2951e+00	1.9623e+01	-6.6401e-02	7.5232e-02	0.0000e+00	0.0000e+00
1.5126e+00	1.9623e+01	-4.0488e-02	1.4921e-01	0.0000e+00	0.0000e+00
1.7302e+00	1.9623e+01	3.0976e-02	6.1691e-02	0.0000e+00	0.0000e+00
1.9478e+00	1.9623e+01	5.8336e-03	9.2929e-04	0.0000e+00	0.0000e+00
2.1654e+00	1.9623e+01	3.8729e-02	-3.1600e-02	0.0000e+00	0.0000e+00
2.3829e+00	1.9623e+01	-5.2753e-02	-1.1362e-03	0.0000e+00	0.0000e+00
2.6005e+00	1.9623e+01	-7.5078e-02	7.4116e-02	0.0000e+00	0.0000e+00
2.8181e+00	1.9623e+01	-1.4444e-02	8.8987e-02	0.0000e+00	0.0000e+00
3.0356e+00	1.9623e+01	-8.2059e-03	8.9195e-02	0.0000e+00	0.0000e+00
3.2532e+00	1.9623e+01	1.1216e-01	5.3207e-02	0.0000e+00	0.0000e+00
3.4708e+00	1.9623e+01	5.9310e-02	1.4062e-02	0.0000e+00	0.0000e+00
3.6884e+00	1.9623e+01	-3.0959e-02	2.3661e-02	0.0000e+00	0.0000e+00
3.9059e+00	1.9623e+01	6.8011e-02	3.2026e-02	0.0000e+00	0.0000e+00
4.1235e+00	1.9623e+01	4.1189e-04	1.0613e-03	0.0000e+00	0.0000e+00
4.3411e+00	1.9623e+01	-9.6933e-03	1.3174e-01	0.0000e+00	0.0000e+00
4.5586e+00	1.9623e+01	5.7793e-02	1.3131e-01	0.0000e+00	0.0000e+00
4.7762e+00	1.9623e+01	2.1234e-03	6.1887e-02	0.0000e+00	0.0000e+00
4.9938e+00	1.9623e+01	-7.5839e-03	3.0176e-02	0.0000e+00	0.0000e+00
5.2114e+00	1.9623e+01	-9.9276e-03	3.4796e-02	0.0000e+00	0.0000e+00
5.4289e+00	1.9623e+01	8.8012e-03	5.0108e-03	0.0000e+00	0.0000e+00
5.6465e+00	1.9623e+01	-7.2561e-03	1.2086e-02	0.0000e+00	0.0000e+00
5.8641e+00	1.9623e+01	8.5274e-02	-2.0324e-02	0.0000e+00	0.0000e+00
6.0816e+00	1.9623e+01	8.5717e-02	-8.8742e-03	0.0000e+00	0.0000e+00
6.2992e+00	1.9623e+01	3.2406e-02	5.3653e-04	1.0000e+00	0.0000e+00
6.5168e+00	1.9623e+01	1.1622e-02	4.4407e-02	0.0000e+00	0.0000e+00
6.7344e+00	1.9623e+01	-2.3438e-02	4.9151e-02	0.0000e+00	0.0000e+00
6.9519e+00	1.9623e+01	4.3129e-02	1.1869e-02	0.0000e+00	0.0000e+00
7.1695e+00	1.9623e+01	-1.2042e-02	2.9311e-02	0.0000e+00	0.0000e+00
7.3871e+00	1.9623e+01	8.9150e-03	8.7901e-02	0.0000e+00	0.0000e+00
7.6046e+00	1.9623e+01	-7.5059e-03	7.9672e-02	0.0000e+00	0.0000e+00
7.8222e+00	1.9623e+01	-1.6910e-01	1.6395e-01	0.0000e+00	0.0000e+00
8.0398e+00	1.9623e+01	-3.7683e-02	1.8787e-01	0.0000e+00	0.0000e+00
8.2574e+00	1.9623e+01	-3.1956e-02	9.0010e-02	0.0000e+00	0.0000e+00
8.4749e+00	1.9623e+01	1.4976e-02	4.4525e-02	0.0000e+00	0.0000e+00
8.6925e+00	1.9623e+01	-1.4968e-03	2.9596e-02	0.0000e+00	0.0000e+00
8.9101e+00	1.9623e+01	6.6401e-02	-8.8587e-02	0.0000e+00	0.0000e+00
9.1276e+00	1.9623e+01	1.8921e-02	-1.9178e-01	0.0000e+00	0.0000e+00
9.3452e+00	1.9623e+01	-1.0386e-02	-1.9218e-01	0.0000e+00	0.0000e+00
9.5628e+00	1.9623e+01	1.3789e-02	1.7196e-02	1.0000e+00	0.0000e+00
9.7804e+00	1.9623e+01	3.5859e-02	-3.1949e-02	0.0000e+00	0.0000e+00
9.9979e+00	1.9623e+01	6.5508e-02	4.1436e-03	0.0000e+00	0.0000e+00
1.0215e+01	1.9623e+01	-2.6111e-02	7.3457e-04	0.0000e+00	0.0000e+00
1.0433e+01	1.9623e+01	1.2378e-02	-2.9990e-02	0.0000e+00	0.0000e+00
1.0651e+01	1.9623e+01	2.2222e-02	-1.5340e-02	0.0000e+00	0.0000e+00
1.0868e+01	1.9623e+01	-5.0016e-02	2.5160e-02	0.0000e+00	0.0000e+00
1.1086e+01	1.9623e+01	1.7386e-03	2.5885e-02	0.0000e+00	0.0000e+00
1.1303e+01	1.9623e+01	-1.9809e-02	9.2677e-03	0.0000e+00	0.0000e+00
1.1521e+01	1.9623e+01	2.4108e-03	1.4412e-01	0.0000e+00	0.0000e+00
1.1738e+01	1.9623e+01	2.1676e-01	7.6192e-02	0.0000e+00	0.0000e+00
1.1956e+01	1.9623e+01	3.6564e-02	8.4260e-02	0.0000e+00	0.0000e+00
1.2174e+01	1.9623e+01	1.2278e-02	8.5745e-02	0.0000e+00	0.0000e+00
1.2391e+01	1.9623e+01	3.0099e-02	8.0756e-02	0.0000e+00	0.0000e+00
1.2609e+01	1.9623e+01	-1.7269e-02	3.0363e-03	0.0000e+00	0.0000e+00
1.2826e+01	1.9623e+01	-2.9092e-02	-5.6333e-02	0.0000e+00	0.0000e+00
1.3044e+01	1.9623e+01	-2.3430e-02	-1.3003e-02	0.0000e+00	0.0000e+00
1.3262e+01	1.9623e+01	1.8525e-02	-7.8269e-03	0.0000e+00	0.0000e+00
1.3479e+01	1.9623e+01	4.6513e-02	-5.0375e-03	0.0000e+00	0.0000e+00
1.3697e+01	1.9623e+01	1.5580e-02	-8.2884e-03	0.0000e+00	0.0000e+00
1.3914e+01	1.9623e+01	-1.7385e-02	-1.2661e-02	0.0000e+00	0.0000e+00
1.4132e+01	1.9623e+01	-1.1951e-02	-1.6188e-03	0.0000e+00	0.0000e+00
1.4349e+01	1.9623e+01	-1.9047e-02	1.6117e-02	1.0000e+00	0.0000e+00
1.4567e+01	1.9623e+01	-9.3264e-02	-5.8301e-02	0.0000e+00	0.0000e+00
1.4785e+01	1.9623e+01	-3.8324e-02	-8.2924e-03	1.0000e+00	0.0000e+00
1.5002e+01	1.9623e+01	-3.7288e-02	-6.3134e-04	1.0000e+00	0.0000e+00
1.5220e+01	1.9623e+01	1.9310e-02	-2.5873e-02	0.0000e+00	0.0000e+00
1.5437e+01	1.9623e+01	-2.6777e-01	-3.1972e-02	0.0000e+00	0.0000e+00
1.5655e+01	1.9623e+01	-1.0980e-01	7.6468e-02	1.0000e+00	0.0000e+00
1.5872e+01	1.9623e+01	-1.5262e-01	2.8832e-02	1.0000e+00	0.0000e+00
1.6090e+01	1.9623e+01	-1.0708e-01	3.3672e+00	0.0000e+00	0.0000e+00
1.6308e+01	1.9623e+01	-3.3664e-01	-1.1046e-01	1.0000e+00	0.0000e+00
1.6525e+01	1.9623e+01	-3.8730e-01	-2.2666e-01	1.0000e+00	0.0000e+00
1.6743e+01	1.9623e+01	-3.3100e+00	-1.9346e+00	0.0000e+00	0.0000e+00
1.6960e+01	1.9623e+01	-1.6931e+00	-1.8466e+00	0.0000e+00	0.0000e+00
