# x	y	u	v	flags	mask
2.0721e-01	1.9623e+01	2.2576e-01	2.7138e-02	1.0000e+00	0.0000e+00
4.2478e-01	1.9623e+01	4.1747e-02	4.1970e-02	1.0000e+00	0.0000e+00
6.4235e-01	1.9623e+01	3.0541e-02	1.0433e-02	1.0000e+00	0.0000e+00
8.5993e-01	1.9623e+01	7.9850e-03	6.8699e-03	1.0000e+00	0.0000e+00
1.0775e+00	1.9623e+01	-2.9492e-02	8.5368e-03	1.0000e+00	0.0000e+00
1.2951e+00	1.9623e+01	-6.8127e-02	8.7035e-02	1.0000e+00	0.0000e+00
1.5126e+00	1.9623e+01	-4.0630e-02	5.9582e-02	1.0000e+00	0.0000e+00
1.7302e+00	1.9623e+01	2.6831e-02	3.6302e-02	1.0000e+00	0.0000e+00
1.9478e+00	1.9623e+01	3.0494e-02	-7.2737e-03	1.0000e+00	0.0000e+00
2.1654e+00	1.9623e+01	3.4166e-02	-3.0571e-02	1.0000e+00	0.0000e+00
2.3829e+00	1.9623e+01	-3.0771e-02	5.0683e-03	1.0000e+00	0.0000e+00
2.6005e+00	1.9623e+01	-6.2417e-02	6.7768e-02	1.0000e+00	0.0000e+00
2.8181e+00	1.9623e+01	-2.2842e-02	6.6026e-02	1.0000e+00	0.0000e+00
3.0356e+00	1.9623e+01	-8.5485e-03	5.9387e-02	1.0000e+00	0.0000e+00
3.2532e+00	1.9623e+01	7.0440e-02	1.1608e-02	1.0000e+00	0.0000e+00
3.4708e+00	1.9623e+01	2.2985e-02	4.2220e-03	1.0000e+00	0.0000e+00
3.6884e+00	1.9623e+01	-4.7198e-02	2.9319e-02	1.0000e+00	0.0000e+00
3.9059e+00	1.9623e+01	3.7940e-02	5.8961e-02	1.0000e+00	0.0000e+00
4.1235e+00	1.9623e+01	-2.2216e-02	6.2065e-02	1.0000e+00	0.0000e+00
4.3411e+00	1.9623e+01	-1.5546e-02	7.4926e-02	1.0000e+00	0.0000e+00
4.5586e+00	1.9623e+01	4.2739e-02	1.2025e-01	1.0000e+00	0.0000e+00
4.7762e+00	1.9623e+01	9.9972e-03	6.3173e-02	1.0000e+00	0.0000e+00
4.9938e+00	1.9623e+01	1.3274e-03	2.7557e-02	1.0000e+00	0.0000e+00
5.2114e+00	1.9623e+01	-6.5034e-03	2.9959e-02	1.0000e+00	0.0000e+00
5.4289e+00	1.9623e+01	7.2166e-03	1.3789e-02	1.0000e+00	0.0000e+00
5.6465e+00	1.9623e+01	-1.0088e-02	2.4466e-02	1.0000e+00	0.0000e+00
5.8641e+00	1.9623e+01	1.0098e-02	-2.7389e-03	1.0000e+00	0.0000e+00
6.0816e+00	1.9623e+01	1.9188e-02	4.6896e-05	1.0000e+00	0.0000e+00
6.2992e+00	1.9623e+01	1.0466e-02	1.2655e-02	1.0000e+00	0.0000e+00
6.5168e+00	1.9623e+01	1.1283e-02	1.3344e-02	1.0000e+00	0.0000e+00
6.7344e+00	1.9623e+01	-1.7381e-02	2.1949e-03	1.0000e+00	0.0000e+00
6.9519e+00	1.9623e+01	2.9507e-02	3.5816e-03	1.0000e+00	0.0000e+00
7.1695e+00	1.9623e+01	-1.9792e-02	1.6631e-02	1.0000e+00	0.0000e+00
7.3871e+00	1.9623e+01	1.3184e-02	7.4235e-02	1.0000e+00	0.0000e+00
7.6046e+00	1.9623e+01	1.5320e-03	4.9313e-02	1.0000e+00	0.0000e+00
7.8222e+00	1.9623e+01	-1.1470e-01	1.4470e-01	1.0000e+00	0.0000e+00
8.0398e+00	1.9623e+01	-1.4065e-02	1.8594e-01	1.0000e+00	0.0000e+00
8.2574e+00	1.9623e+01	3.1398e-03	8.5533e-02	1.0000e+00	0.0000e+00
8.4749e+00	1.9623e+01	9.6876e-03	8.2192e-04	1.0000e+00	0.0000e+00
8.6925e+00	1.9623e+01	-2.0428e-02	2.8938e-03	1.0000e+00	0.0000e+00
8.9101e+00	1.9623e+01	5.1422e-02	-9.0571e-02	1.0000e+00	0.0000e+00
9.1276e+00	1.9623e+01	3.1179e-02	-1.8873e-01	1.0000e+00	0.0000e+00
9.3452e+00	1.9623e+01	2.7207e-03	-1.7735e-01	1.0000e+00	0.0000e+00
9.5628e+00	1.9623e+01	1.1442e-02	-8.7632e-02	1.0000e+00	0.0000e+00
9.7804e+00	1.9623e+01	2.6293e-02	-6.0297e-02	1.0000e+00	0.0000e+00
9.9979e+00	1.9623e+01	6.3864e-02	6.0424e-03	1.0000e+00	0.0000e+00
1.0215e+01	1.9623e+01	-8.5454e-04	-2.8755e-02	1.0000e+00	0.0000e+00
1.0433e+01	1.9623e+01	-7.2069e-03	-5.2702e-02	1.0000e+00	0.0000e+00
1.0651e+01	1.9623e+01	2.3778e-02	-2.3489e-02	1.0000e+00	0.0000e+00
1.0868e+01	1.9623e+01	-2.0340e-02	1.1612e-02	1.0000e+00	0.0000e+00
1.1086e+01	1.9623e+01	2.4595e-02	2.4154e-02	1.0000e+00	0.0000e+00
1.1303e+01	1.9623e+01	-2.8112e-02	1.5063e-02	1.0000e+00	0.0000e+00
1.1521e+01	1.9623e+01	-1.2994e-02	1.3457e-01	1.0000e+00	0.0000e+00
1.1738e+01	1.9623e+01	1.6052e-01	7.1374e-02	1.0000e+00	0.0000e+00
1.1956e+01	1.9623e+01	4.1029e-02	9.2003e-02	1.0000e+00	0.0000e+00
1.2174e+01	1.9623e+01	1.3279e-02	7.2679e-02	1.0000e+00	0.0000e+00
1.2391e+01	1.9623e+01	4.4648e-02	4.8785e-02	1.0000e+00	0.0000e+00
1.2609e+01	1.9623e+01	-1.1213e-02	1.4683e-02	1.0000e+00	0.0000e+00
1.2826e+01	1.9623e+01	-2.9250e-02	-3.5065e-02	1.0000e+00	0.0000e+00
1.3044e+01	1.9623e+01	-3.0468e-02	-2.1368e-02	1.0000e+00	0.0000e+00
1.3262e+01	1.9623e+01	2.0961e-04	-1.5790e-02	1.0000e+00	0.0000e+00
1.3479e+01	1.9623e+01	3.0964e-02	-7.0138e-03	1.0000e+00	0.0000e+00
1.3697e+01	1.9623e+01	2.1946e-02	-1.8015e-02	1.0000e+00	0.0000e+00
1.3914e+01	1.9623e+01	-8.1867e-03	-1.5684e-02	1.0000e+00	0.0000e+00
1.4132e+01	1.9623e+01	-8.5657e-03	-6.9548e-03	1.0000e+00	0.0000e+00
1.4349e+01	1.9623e+01	-5.8341e-02	4.0072e-04	1.0000e+00	0.0000e+00
1.4567e+01	1.9623e+01	-6.9658e-02	3.2803e-03	1.0000e+00	0.0000e+00
1.4785e+01	1.9623e+01	-5.5194e-02	-2.8695e-02	1.0000e+00	0.0000e+00
1.5002e+01	1.9623e+01	-4.8004e-02	-5.2973e-02	1.0000e+00	0.0000e+00
1.5220e+01	1.9623e+01	3.0954e-02	-5.1158e-01	1.0000e+00	0.0000e+00
1.5437e+01	1.9623e+01	-3.0913e-02	-4.8833e-01	1.0000e+00	0.0000e+00
1.5655e+01	1.9623e+01	3.2434e-02	-1.5271e-01	1.0000e+00	0.0000e+00
1.5872e+01	1.9623e+01	-4.3456e-03	-1.6051e+00	1.0000e+00	0.0000e+00
1.6090e+01	1.9623e+01	-5.8684e-01	-6.3244e-01	1.0000e+00	0.0000e+00
1.6308e+01	1.9623e+01	9.9747e-02	-7.1045e-01	1.0000e+00	0.0000e+00
1.6525e+01	1.9623e+01	2.2945e-02	-5.0545e-01	1.0000e+00	0.0000e+00
1.6743e+01	1.9623e+01	6.3679e-01	-6.8753e-01	1.0000e+00	0.0000e+00
1.6960e+01	1.9623e+01	-1.7234e+00	-1.5126e+00	1.0000e+00	0.0000e+00
1.7178e+01	1.9623e+01	-2.7093e-01	-2.6842e-01	1.0000e+00	0.0000e+00
1.7395e+01	1.9623e+01	-4.6970e-01	-4.1330e-01	1.0000e+00	0.0000e+00
1.7613e+01	1.9623e+01	-2.2669e-01	-1.4445e-01	1.0000e+00	0.0000e+00
1.7831e+01	1.9623e+01	-1.7238e-01	-8.5023e-02	1.0000e+00	0.0000e+00
1.8048e+01	1.9623e+01	-1.0612e-01	-7.9720e-03	1.0000e+00	0.0000e+00
1.8266e+01	1.9623e+01	-8.8007e-02	7.2505e-02	1.0000e+00	0.0000e+00
1.8483e+01	1.9623e+01	-2.2117e-01	4.1410e-02	1.0000e+00	0.0000e+00
1.8701e+01	1.9623e+01	2.7338e-01	6.1368e-03	1.0000e+00	0.0000e+00
1.8918e+01	1.9623e+01	-3.0200e-02	2.6609e-02	1.0000e+00	0.0000e+00
1.9136e+01	1.9623e+01	-6.0110e-02	5.3569e-02	1.0000e+00	0.0000e+00
1.9354e+01	1.9623e+01	-5.4753e-03	2.4708e-02	1.0000e+00	0.0000e+00
1.9571e+01	1.9623e+01	-1.8119e-02	4.1270e-02	1.0000e+00	0.0000e+00
1.9789e+01	1.9623e+01	-7.5204e-03	1.6564e-02	1.0000e+00	0.0000e+00
2.0006e+01	1.9623e+01	7.5213e-03	-1.5324e-02	1.0000e+00	0.0000e+00
2.0224e+01	1.9623e+01	1.2481e-01	1.3101e-01	1.0000e+00	0.0000e+00
2.0441e+01	1.9623e+01	-3.6983e-02	9.4770e-02	1.0000e+00	0.0000e+00
2.0659e+01	1.9623e+01	7.2617e-02	2.2957e-03	1.0000e+00	0.0000e+00
2.0877e+01	1.9623e+01	-1.6301e-03	4.8523e-02	1.0000e+00	0.0000e+00
2.1094e+01	1.9623e+01	-4.9989e-03	4.3183e-02	1.0000e+00	0.0000e+00
2.1312e+01	1.9623e+01	-5.4568e-03	2.6834e-02	1.0000e+00	0.0000e+00
2.1529e+01	1.9623e+01	-3.9098e-04	2.5361e-02	1.0000e+00	0.0000e+00
2.1747e+01	1.9623e+01	-1.6933e-02	-3.2022e-02	1.0000e+00	0.0000e+00
2.1964e+01	1.9623e+01	3.1452e-03	-1.1644e-02	1.0000e+00	0.0000e+00
2.2182e+01	1.9623e+01	-1.7463e-02	5.1154e-03	1.0000e+00	0.0000e+00
2.2400e+01	1.9623e+01	1.4298e-02	-2.5683e-03	1.0000e+00	0.0000e+00
2.2617e+01	1.9623e+01	1.2424e-03	6.3950e-02	1.0000e+00	0.0000e+00
2.2835e+01	1.9623e+01	-1.3818e-01	1.1617e-01	1.0000e+00	0.0000e+00
2.3052e+01	1.9623e+01	1.3172e-02	1.1430e-01	1.0000e+00	0.0000e+00
2.3270e+01	1.9623e+01	1.1537e-02	1.2653e-01	1.0000e+00	0.0000e+00
2.3487e+01	1.9623e+01	3.3013e-03	1.4317e-01	1.0000e+00	0.0000e+00
2.3705e+01	1.9623e+01	1.6830e-01	3.8785e-01	1.0000e+00	0.0000e+00
2.3923e+01	1.9623e+01	1.2292e-02	1.1651e-01	1.0000e+00	0.0000e+00
2.4140e+01	1.9623e+01	-3.9934e-02	1.6480e-01	1.0000e+00	0.0000e+00
2.4358e+01	1.9623e+01	2.1953e-02	-1.7802e-01	1.0000e+00	0.0000e+00
2.4575e+01	1.9623e+01	-2.1745e-02	-2.4569e-01	1.0000e+00	0.0000e+00
2.4793e+01	1.9623e+01	-2.1826e-03	-1.7612e-01	1.0000e+00	0.0000e+00
2.5010e+01	1.9623e+01	-1.2805e-01	2.8911e-02	1.0000e+00	0.0000e+00
2.5228e+01	1.9623e+01	-1.2144e-01	-4.3274e-02	1.0000e+00	0.0000e+00
2.5446e+01	1.9623e+01	-1.9064e-01	-3.3432e-02	1.0000e+00	0.0000e+00
2.5663e+01	1.9623e+01	-3.0168e-01	-3.3307e-02	1.0000e+00	0.0000e+00
2.5881e+01	1.9623e+01	-3.2539e-01	-4.0001e-02	1.0000e+00	0.0000e+00
2.6098e+01	1.9623e+01	-3.7571e-01	-3.7271e-02	1.0000e+00	0.0000e+00
2.6316e+01	1.9623e+01	-4.4915e-01	-4.1961e-02	1.0000e+00	0.0000e+00
2.0721e-01	1.9405e+01	1.0866e-01	-5.3756e-02	1.0000e+00	0.0000e+00
4.2478e-01	1.9405e+01	-3.4058e-02	3.7085e-03	1.0000e+00	0.0000e+00
6.4235e-01	1.9405e+01	-2.3277e-02	5.1899e-02	1.0000e+00	0.0000e+00
8.5993e-01	1.9405e+01	1.5771e-02	3.4490e-02	1.0000e+00	0.0000e+00
1.0775e+00	1.9405e+01	2.0973e-02	-9.6423e-03	1.0000e+00	0.0000e+00
1.2951e+00	1.9405e+01	-2.5308e-02	-8.8174e-03	1.0000e+00	0.0000e+00
1.5126e+00	1.9405e+01	7.5028e-03	3.1183e-02	1.0000e+00	0.0000e+00
1.7302e+00	1.9405e+01	-3.9092e-04	2.1270e-02	1.0000e+00	0.0000e+00
1.9478e+00	1.9405e+01	2.2006e-02	1.7918e-02	1.0000e+00	0.0000e+00
2.1654e+00	1.9405e+01	6.7183e-04	2.9847e-02	1.0000e+00	0.0000e+00
2.3829e+00	1.9405e+01	-6.6202e-02	6.6404e-02	1.0000e+00	0.0000e+00
2.6005e+00	1.9405e+01	1.3500e-02	1.8675e-02	1.0000e+00	0.0000e+00
2.8181e+00	1.9405e+01	-2.5526e-03	2.2759e-04	1.0000e+00	0.0000e+00
3.0356e+00	1.9405e+01	-3.5785e-02	1.0792e-03	1.0000e+00	0.0000e+00
3.2532e+00	1.9405e+01	4.3589e-02	4.6619e-02	1.0000e+00	0.0000e+00
3.4708e+00	1.9405e+01	1.5907e-02	1.0670e-01	1.0000e+00	0.0000e+00
